glyph_name,ps_name,USV,DesignerOrder,bcp47tags,OTLang,assoc_feat,assoc_feat_val,assoc_uids,Comment
uni1319,uni1319,1319,566,,,cv41,0,,
uni1319.alt1,uni1319.alt1,,567,,,cv41,1,1319,
uni131A,uni131A,  131A,568,,,cv41,0,,
uni131A.alt1,uni131A.alt1,,569,,,cv41,1,  131A,
uni131B,uni131B,  131B,570,,,cv41,0,,
uni131B.alt1,uni131B.alt1,,571,,,cv41,1,  131B,
uni131C,uni131C,  131C,572,,,cv41,0,,
uni131C.alt1,uni131C.alt1,,573,,,cv41,1,  131C,
uni131D,uni131D,  131D,574,,,cv41,0,,
uni131D.alt1,uni131D.alt1,,575,,,cv41,1,  131D,
uni131E,uni131E,  131E,576,,,cv41,0,,
uni131E.alt1,uni131E.alt1,,577,,,cv41,1,  131E,
uni131F,uni131F,  131F,578,,,cv42,0,,
uni131F.type,uni131F.type,,579,,,cv42,1,  131F,
uni1320,uni1320,1320,580,,,,,,
uni1321,uni1321,1321,581,,,,,,
uni1322,uni1322,1322,582,,,,,,
uni1323,uni1323,1323,583,,,,,,
uni1324,uni1324,1324,584,,,,,,
uni1325,uni1325,1325,585,,,,,,
uni1326,uni1326,1326,586,,,,,,
uni1327,uni1327,1327,587,,,,,,
uni1328,uni1328,1328,588,,,,,,
uni1329,uni1329,1329,589,,,,,,
uni132A,uni132A,  132A,590,,,,,,
uni132B,uni132B,  132B,591,,,,,,
uni132C,uni132C,  132C,592,,,,,,
uni132D,uni132D,  132D,593,,,,,,
uni132E,uni132E,  132E,594,,,,,,
uni132F,uni132F,  132F,595,,,,,,
uni1330,uni1330,1330,596,,,,,,
uni1331,uni1331,1331,597,,,,,,
uni1332,uni1332,1332,598,,,,,,
uni1333,uni1333,1333,599,,,,,,
uni1334,uni1334,1334,600,,,,,,
uni1335,uni1335,1335,601,,,cv45,0,,
uni1335.praetorius,uni1335.praetorius,,602,,,cv45,1,1335,
uni1336,uni1336,1336,603,,,,,,
uni1337,uni1337,1337,604,,,,,,
uni1338,uni1338,1338,605,,,,,,
uni1339,uni1339,1339,606,,,,,,
uni133A,uni133A,  133A,607,,,,,,
uni133B,uni133B,  133B,608,,,,,,
uni133C,uni133C,  133C,609,,,,,,
uni133D,uni133D,  133D,610,,,,,,
uni133E,uni133E,  133E,611,,,,,,
uni133F,uni133F,  133F,612,,,cv46,0,,
uni133F.oldstyle,uni133F.oldstyle,,614,,,cv46,1,133F,
uni1340,uni1340,1340,615,,,,,,
uni1341,uni1341,1341,616,,,,,,
uni1342,uni1342,1342,617,,,,,,
uni1343,uni1343,1343,618,,,,,,
uni1344,uni1344,1344,619,,,,,,
uni1345,uni1345,1345,620,,,,,,
uni1346,uni1346,1346,621,,,,,,
uni1347,uni1347,1347,622,,,,,,
uni1348,uni1348,1348,623,,,,,,
uni1349,uni1349,1349,624,,,,,,
uni134A,uni134A,  134A,625,,,,,,
uni134B,uni134B,  134B,626,,,,,,
uni134C,uni134C,  134C,627,,,,,,
uni134D,uni134D,  134D,628,,,,,,
uni134E,uni134E,  134E,629,,,,,,
